127.0.0.1 - - [06/Mar/2018:12:21:16 +0600] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:33 +0600] "GET /pms/javax.faces.resource/images/ui-bg_highlight-hard_100_f2f5f7_1x100.png.xhtml?ln=primefaces-cupertino HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:33 +0600] "GET /pms/javax.faces.resource/images/ui-icons_3d80b3_256x240.png.xhtml?ln=primefaces-cupertino HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:33 +0600] "GET /pms/javax.faces.resource/images/ui-bg_highlight-soft_100_deedf7_1x100.png.xhtml?ln=primefaces-cupertino HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:33 +0600] "GET /pms/javax.faces.resource/images/ui-bg_glass_80_d7ebf9_1x400.png.xhtml?ln=primefaces-cupertino HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:33 +0600] "GET /pms/javax.faces.resource/images/ui-bg_glass_50_3baae3_1x400.png.xhtml?ln=primefaces-cupertino HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:33 +0600] "GET /pms/javax.faces.resource/images/ui-bg_glass_100_e4f1fb_1x400.png.xhtml?ln=primefaces-cupertino HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:47 +0600] "POST /pms/productcategory.xhtml HTTP/1.1" 200 5567
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:56 +0600] "GET /pms/javax.faces.resource/layout/layout.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:56 +0600] "GET /pms/javax.faces.resource/theme.css.xhtml?ln=primefaces-cupertino HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:56 +0600] "GET /pms/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:56 +0600] "GET /pms/javax.faces.resource/layout/layout.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:56 +0600] "GET /pms/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:56 +0600] "GET /pms/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:56 +0600] "GET /pms/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:56 +0600] "GET /pms/productpurchase.xhtml?jftfdi=&jffi=productpurchase.xhtml HTTP/1.1" 200 17142
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:56 +0600] "GET /pms/javax.faces.resource/images/ui-bg_highlight-hard_100_f2f5f7_1x100.png.xhtml?ln=primefaces-cupertino HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:56 +0600] "GET /pms/javax.faces.resource/images/ui-bg_highlight-soft_100_deedf7_1x100.png.xhtml?ln=primefaces-cupertino HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:56 +0600] "GET /pms/javax.faces.resource/images/ui-icons_3d80b3_256x240.png.xhtml?ln=primefaces-cupertino HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:56 +0600] "GET /pms/javax.faces.resource/images/ui-bg_glass_80_d7ebf9_1x400.png.xhtml?ln=primefaces-cupertino HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:56 +0600] "GET /pms/javax.faces.resource/images/ui-bg_glass_50_3baae3_1x400.png.xhtml?ln=primefaces-cupertino HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:21:56 +0600] "GET /pms/javax.faces.resource/images/ui-bg_glass_100_e4f1fb_1x400.png.xhtml?ln=primefaces-cupertino HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:22:01 +0600] "GET /pms/javax.faces.resource/images/ui-icons_2694e8_256x240.png.xhtml?ln=primefaces-cupertino HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2018:12:22:02 +0600] "GET /pms/javax.faces.resource/images/ui-bg_highlight-soft_25_ffef8f_1x100.png.xhtml?ln=primefaces-cupertino HTTP/1.1" 304 -
